iteration_tracking,availability_rate,mean_stock
"[13,22.6]",9.861878907084664e-05,554962.8998731758
"[13,22.8]",5.478821615047036e-05,562021.9852770724
"[13,23.0]",5.478821615047036e-05,566505.1418152152
"[13,23.2]",9.861878907084664e-05,569870.8398985636
"[13,23.4]",1.643646484514111e-05,576804.2456257476
"[13,23.6]",6.574585938056443e-05,581512.6410022466
"[13,23.8]",7.122468099561146e-05,586545.0711129926
"[13,24.0]",2.1915286460188143e-05,590752.6899031902
"[14,18.2]",0.006185589603388103,404434.7824395085
"[14,18.4]",0.005254189928830107,412462.5129173774
"[14,18.6]",0.0041145950329003235,422391.54486921895
"[14,18.8]",0.0038570904169931133,431410.86527585547
"[14,19.0]",0.002914733099205023,441982.3770468751
"[14,19.2]",0.0025586096942269657,451222.17273570306
"[14,19.4]",0.0019230663868815094,461197.60088480485
"[14,19.6]",0.0014299724415272764,469893.0306887017
"[14,19.8]",0.0012765654363059594,477086.9605693103
"[14,20.0]",0.0009368784961730431,486606.9362910148
"[14,20.2]",0.0008382597071021965,494904.77993052755
"[14,20.4]",0.0006738950586507854,503157.7045289444
"[14,20.6]",0.0005697974479648917,511025.4587876357
"[14,20.8]",0.00047117865889404506,516620.16070660093
"[14,21.0]",0.00036160222659310434,526118.3365488534
"[14,21.2]",0.00022463168621692845,533345.5858486405
"[14,21.4]",0.00024106815106206958,539760.9867539066
"[14,21.6]",0.0002136740429868344,547190.3021030084
"[14,21.8]",0.000153407005221317,552857.4703726582
"[14,22.0]",0.00010957643230094071,559021.7088779242
"[14,22.2]",0.00010409761068589368,566332.9258434648
"[14,22.4]",8.766114584075257e-05,572314.2698939363
"[14,22.6]",4.383057292037629e-05,577754.0383444086
"[14,22.8]",4.930939453542332e-05,584280.2029866615
"[14,23.0]",3.835175130532925e-05,588612.9058754892
"[14,23.2]",2.1915286460188143e-05,594682.0547588376
"[14,23.4]",3.287292969028222e-05,599448.7370175284
"[14,23.6]",3.287292969028222e-05,606976.6967063561
"[14,23.8]",1.0957643230094072e-05,611029.8839020337
"[14,24.0]",1.0957643230094072e-05,615570.9963799026
"[15,19.2]",0.0027887202020589414,452881.0543192647
"[15,19.4]",0.002016206354337309,462839.0871204213
"[15,19.6]",0.0016600829493592518,473110.22073801677
"[15,19.8]",0.0014135359766821352,481659.57176383084
"[15,20.0]",0.0010957643230094071,491234.2268718367
"[15,20.2]",0.000931399674557996,502419.8159743631
"[15,20.4]",0.000608149199270221,511540.8347700403
"[15,20.6]",0.0007177256315711617,519536.7767985946
"[15,20.8]",0.0005095304101993744,527706.1385202996
"[15,21.0]",0.00037803869143824545,537009.6674748808
"[15,21.2]",0.00025202579429216363,546420.7602267227
"[15,21.4]",0.0001698434700664581,553670.6269182902
"[15,21.6]",0.00014792818360626997,561870.9189358851
"[15,21.8]",0.00012601289714608182,570050.1787397815
"[15,22.0]",0.00014244936199122292,576487.7135518969
"[15,22.2]",6.0267037765517395e-05,584006.8841283963
"[15,22.4]",2.1915286460188143e-05,591139.2615432515
"[15,22.6]",6.0267037765517395e-05,597593.8661581072
"[15,22.8]",4.383057292037629e-05,602987.1525154286
"[15,23.0]",5.478821615047036e-06,608388.130248092
"[15,23.2]",1.0957643230094072e-05,615753.641504043
"[15,23.4]",1.0957643230094072e-05,622191.8759819119
"[15,23.6]",5.478821615047036e-06,628020.0105145754
"[15,23.8]",0.0,634231.4478965541
"[15,24.0]",0.0,639227.5339525052
"[16,20.2]",0.0009423573177880901,502188.335475733
"[16,20.4]",0.0007341620964163028,513563.78599195805
"[16,20.6]",0.0006903315234959265,522867.1353958549
"[16,20.8]",0.0006300644857304091,532824.5725641352
"[16,21.0]",0.0004328269075887158,540338.1102474835
"[16,21.2]",0.0003835175130532925,552412.4879472706
"[16,21.4]",0.0002575046159072107,561175.44121966
"[16,21.6]",7.67035026106585e-05,569354.3886783508
"[16,21.8]",0.00018627993491159922,577867.2430411513
"[16,22.0]",5.478821615047036e-05,587011.1218094311
"[16,22.2]",4.383057292037629e-05,595317.2990763416
"[16,22.4]",6.0267037765517395e-05,604038.7729185938
"[16,22.6]",6.0267037765517395e-05,610483.9198019429
"[16,22.8]",8.218232422570554e-05,617997.2433647437
"[16,23.0]",1.643646484514111e-05,624581.7348891879
"[16,23.2]",0.0,634148.1511807553
"[16,23.4]",1.0957643230094072e-05,639328.0055599941
"[16,23.6]",5.478821615047036e-06,645391.4996433425
"[16,23.8]",0.0,654193.0142965541
"[16,24.0]",5.478821615047036e-06,661287.8717388066
"[17,21.2]",0.00030133518882758694,554823.7774815172
"[17,21.4]",0.00014244936199122292,564562.667449797
"[17,21.6]",0.00014244936199122292,574286.0758016385
"[17,21.8]",0.000153407005221317,582268.9962411514
"[17,22.0]",7.122468099561146e-05,592913.7741765544
"[17,22.2]",8.218232422570554e-05,601051.6405174374
"[17,22.4]",6.574585938056443e-05,610478.6490117445
"[17,22.6]",4.930939453542332e-05,619456.96693071
"[17,22.8]",3.835175130532925e-05,629799.4473757026
"[17,23.0]",2.1915286460188143e-05,637399.1166042563
"[17,23.2]",2.1915286460188143e-05,646087.7320519882
"[17,23.4]",0.0,653786.110031227
"[17,23.6]",0.0,662612.9905803287
"[17,23.8]",0.0,669780.0551732666
"[17,24.0]",5.478821615047036e-06,678080.4172894915
"[18,22.2]",0.00014792818360626997,604040.1540626428
"[18,22.4]",4.930939453542332e-05,614738.3774501006
"[18,22.6]",3.287292969028222e-05,624590.6033361895
"[18,22.8]",3.287292969028222e-05,634447.5045099491
"[18,23.0]",1.0957643230094072e-05,641480.7801768591
"[18,23.2]",2.1915286460188143e-05,651998.5591478787
"[18,23.4]",1.643646484514111e-05,660825.3998339667
"[18,23.6]",5.478821615047036e-06,671692.2147063562
"[18,23.8]",0.0,678343.0555020337
"[18,24.0]",5.478821615047036e-06,686418.9938593545
"[19,23.2]",3.287292969028222e-05,652810.444983495
"[19,23.4]",1.643646484514111e-05,662813.9989024599
"[19,23.6]",0.0,673619.781868
"[19,23.8]",4.383057292037629e-05,682388.0452609378
"[19,24.0]",0.0,693052.3039141491
